label,ecmp,hedera,nonblocking
stag0(0.2,0.3),732.933282,954.777392,225.127478
stag1(0.2,0.3),899.491249,1005.996749,318.049097
stag2(0.2,0.3),737.364957,1133.399432,318.330622
stag0(0.5,0.3),539.810847,590.117107,343.798735
stag1(0.5,0.3),553.524969,560.395944,317.555942
stag2(0.5,0.3),705.097523,672.236746,313.283530
stride1,221.201904,429.003051,52.964166
stride2,383.535081,373.327981,166.595004
stride4,742.896665,996.905621,226.283918
stride8,925.048258,1694.825918,402.020909
rand0,648.090094,837.485502,250.779010
rand1,874.368623,976.604613,254.670049
rand2,1005.754977,1086.667499,287.141933
randbij0,837.931858,1249.713948,402.479890
randbij1,816.625095,1220.490881,352.901312
randbij2,943.694302,1309.565811,326.525522
randx2,1157.653092,1054.511147,368.566903
randx3,1027.784403,829.808075,347.250189
randx4,1025.651597,900.355344,330.429498
hotspot,663.908077,819.202640,259.811325
