label,ecmp,hedera,nonblocking
stag0(0.2,0.3),248.800168,254.945509,111.548837
stag1(0.2,0.3),325.026396,325.722840,139.656077
stag2(0.2,0.3),234.969365,347.217383,112.196646
stag0(0.5,0.3),221.921986,200.931711,131.008686
stag1(0.5,0.3),251.681014,301.985711,93.155279
stag2(0.5,0.3),238.559509,250.210022,103.329149
stride1,204.265663,64.280181,17.782780
stride2,157.742426,162.142779,36.217123
stride4,210.699967,295.212537,64.312835
stride8,413.270690,448.221189,111.231498
rand0,214.259968,273.147695,84.798997
rand1,225.562355,314.311694,95.265400
rand2,238.421579,303.162809,113.413891
randbij0,280.771599,436.239479,113.304893
randbij1,296.416172,356.329218,122.164596
randbij2,307.578015,441.127795,131.376498
randx2,328.873837,310.123724,123.624364
randx3,345.089608,306.306417,114.045231
randx4,341.703334,285.153281,106.506375
hotspot,256.769867,347.026708,67.603334
